,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,GUL,11/06/2018,1,Honeyville Community Center,1911,United States Senator, ,120000,Rick Scott,REP,"827
"
1,GUL,11/06/2018,1,Honeyville Community Center,1911,United States Senator, ,120000,Bill Nelson,DEM,"178
"
2,GUL,11/06/2018,1,Honeyville Community Center,1911,United States Senator, ,120000,WriteinVotes, ,"2
"
3,GUL,11/06/2018,1,Honeyville Community Center,1911,United States Senator, ,120000,OverVotes, ,"0
"
4,GUL,11/06/2018,1,Honeyville Community Center,1911,United States Senator, ,120000,UnderVotes, ,"12
"
5,GUL,11/06/2018,1,Honeyville Community Center,1911,Representative in Congress, District 2,140020,Neal Dunn,REP,"844
"
6,GUL,11/06/2018,1,Honeyville Community Center,1911,Representative in Congress, District 2,140020,Bob Rackleff,DEM,"158
"
7,GUL,11/06/2018,1,Honeyville Community Center,1911,Representative in Congress, District 2,140020,OverVotes, ,"0
"
8,GUL,11/06/2018,1,Honeyville Community Center,1911,Representative in Congress, District 2,140020,UnderVotes, ,"19
"
9,GUL,11/06/2018,1,Honeyville Community Center,1911,Governor, ,160000,DeSantis / Nu̱ez,REP,"821
"
10,GUL,11/06/2018,1,Honeyville Community Center,1911,Governor, ,160000,Gillum / King,DEM,"160
"
11,GUL,11/06/2018,1,Honeyville Community Center,1911,Governor, ,160000,Richardson / Argenziano,REF,"11
"
12,GUL,11/06/2018,1,Honeyville Community Center,1911,Governor, ,160000,Gibson / Wilds,NPA,"4
"
13,GUL,11/06/2018,1,Honeyville Community Center,1911,Governor, ,160000,Foley / Tutton,NPA,"4
"
14,GUL,11/06/2018,1,Honeyville Community Center,1911,Governor, ,160000,Stanley / McJury,NPA,"3
"
15,GUL,11/06/2018,1,Honeyville Community Center,1911,Governor, ,160000,WriteinVotes, ,"1
"
16,GUL,11/06/2018,1,Honeyville Community Center,1911,Governor, ,160000,OverVotes, ,"4
"
17,GUL,11/06/2018,1,Honeyville Community Center,1911,Governor, ,160000,UnderVotes, ,"11
"
18,GUL,11/06/2018,1,Honeyville Community Center,1911,Attorney General, ,160200,Ashley Moody,REP,"827
"
19,GUL,11/06/2018,1,Honeyville Community Center,1911,Attorney General, ,160200,Sean Shaw,DEM,"153
"
20,GUL,11/06/2018,1,Honeyville Community Center,1911,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"20
"
21,GUL,11/06/2018,1,Honeyville Community Center,1911,Attorney General, ,160200,OverVotes, ,"1
"
22,GUL,11/06/2018,1,Honeyville Community Center,1911,Attorney General, ,160200,UnderVotes, ,"20
"
23,GUL,11/06/2018,1,Honeyville Community Center,1911,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"882
"
24,GUL,11/06/2018,1,Honeyville Community Center,1911,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"126
"
25,GUL,11/06/2018,1,Honeyville Community Center,1911,Chief Financial Officer, ,160500,WriteinVotes, ,"0
"
26,GUL,11/06/2018,1,Honeyville Community Center,1911,Chief Financial Officer, ,160500,OverVotes, ,"0
"
27,GUL,11/06/2018,1,Honeyville Community Center,1911,Chief Financial Officer, ,160500,UnderVotes, ,"13
"
28,GUL,11/06/2018,1,Honeyville Community Center,1911,Commissioner of Agriculture, ,160800,Matt Caldwell,REP,"831
"
