,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,HIG,11/06/2018,1,Precinct 1,1792,United States Senator, ,120000,Rick Scott,REP,"682
"
1,HIG,11/06/2018,1,Precinct 1,1792,United States Senator, ,120000,Bill Nelson,DEM,"429
"
2,HIG,11/06/2018,1,Precinct 1,1792,United States Senator, ,120000,WriteinVotes, ,"2
"
3,HIG,11/06/2018,1,Precinct 1,1792,United States Senator, ,120000,OverVotes, ,"0
"
4,HIG,11/06/2018,1,Precinct 1,1792,United States Senator, ,120000,UnderVotes, ,"14
"
5,HIG,11/06/2018,1,Precinct 1,1792,Representative in Congress, District 17,140170,Greg Steube,REP,"677
"
6,HIG,11/06/2018,1,Precinct 1,1792,Representative in Congress, District 17,140170,Allen Ellison,DEM,"413
"
7,HIG,11/06/2018,1,Precinct 1,1792,Representative in Congress, District 17,140170,OverVotes, ,"0
"
8,HIG,11/06/2018,1,Precinct 1,1792,Representative in Congress, District 17,140170,UnderVotes, ,"37
"
9,HIG,11/06/2018,1,Precinct 1,1792,Governor, ,160000,DeSantis / Nu̱ez,REP,"689
"
10,HIG,11/06/2018,1,Precinct 1,1792,Governor, ,160000,Gillum / King,DEM,"396
"
11,HIG,11/06/2018,1,Precinct 1,1792,Governor, ,160000,Richardson / Argenziano,REF,"11
"
12,HIG,11/06/2018,1,Precinct 1,1792,Governor, ,160000,Gibson / Wilds,NPA,"5
"
13,HIG,11/06/2018,1,Precinct 1,1792,Governor, ,160000,Foley / Tutton,NPA,"3
"
14,HIG,11/06/2018,1,Precinct 1,1792,Governor, ,160000,Stanley / McJury,NPA,"7
"
15,HIG,11/06/2018,1,Precinct 1,1792,Governor, ,160000,WriteinVotes, ,"2
"
16,HIG,11/06/2018,1,Precinct 1,1792,Governor, ,160000,OverVotes, ,"5
"
17,HIG,11/06/2018,1,Precinct 1,1792,Governor, ,160000,UnderVotes, ,"9
"
18,HIG,11/06/2018,1,Precinct 1,1792,Attorney General, ,160200,Ashley Moody,REP,"719
"
19,HIG,11/06/2018,1,Precinct 1,1792,Attorney General, ,160200,Sean Shaw,DEM,"357
"
20,HIG,11/06/2018,1,Precinct 1,1792,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"21
"
21,HIG,11/06/2018,1,Precinct 1,1792,Attorney General, ,160200,OverVotes, ,"0
"
22,HIG,11/06/2018,1,Precinct 1,1792,Attorney General, ,160200,UnderVotes, ,"30
"
23,HIG,11/06/2018,1,Precinct 1,1792,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"694
"
24,HIG,11/06/2018,1,Precinct 1,1792,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"396
"
25,HIG,11/06/2018,1,Precinct 1,1792,Chief Financial Officer, ,160500,WriteinVotes, ,"1
"
26,HIG,11/06/2018,1,Precinct 1,1792,Chief Financial Officer, ,160500,OverVotes, ,"1
"
27,HIG,11/06/2018,1,Precinct 1,1792,Chief Financial Officer, ,160500,UnderVotes, ,"35
"
28,HIG,11/06/2018,1,Precinct 1,1792,Commissioner of Agriculture, ,160800,Matt Caldwell,REP,"673
"
29,HIG,11/06/2018,1,Precinct 1,1792,Commissioner of Agriculture, ,160800,"Nicole ""Nikki"" Fried",DEM,"421
"
30,HIG,11/06/2018,1,Precinct 1,1792,Commissioner of Agriculture, ,160800,OverVotes, ,"0
"
31,HIG,11/06/2018,1,Precinct 1,1792,Commissioner of Agriculture, ,160800,UnderVotes, ,"33
"
32,HIG,11/06/2018,1,Precinct 1,1792,State Senator, District 26,240260,Ben Albritton,REP,"687
"
33,HIG,11/06/2018,1,Precinct 1,1792,State Senator, District 26,240260,Catherine Price,DEM,"401
"
34,HIG,11/06/2018,1,Precinct 1,1792,State Senator, District 26,240260,OverVotes, ,"0
"
35,HIG,11/06/2018,1,Precinct 1,1792,State Senator, District 26,240260,UnderVotes, ,"39
"
36,HIG,11/06/2018,1,Precinct 1,1792,State Representative, District 55,260550,Cary Pigman,REP,"656
"
37,HIG,11/06/2018,1,Precinct 1,1792,State Representative, District 55,260550,Audrey Asciutto,DEM,"432
"
