,County Code,Election Date,Unique PCT Identifier,Precinct Polling Location,Total Registered,Contest Name,District,Contest Code,Candidate,Party,Vote Total
0,GLA,11/06/2018,1,1 American Legion,334,United States Senator, ,120000,Rick Scott,REP,"173
"
1,GLA,11/06/2018,1,1 American Legion,334,United States Senator, ,120000,Bill Nelson,DEM,"56
"
2,GLA,11/06/2018,1,1 American Legion,334,United States Senator, ,120000,WriteinVotes, ,"2
"
3,GLA,11/06/2018,1,1 American Legion,334,United States Senator, ,120000,OverVotes, ,"0
"
4,GLA,11/06/2018,1,1 American Legion,334,United States Senator, ,120000,UnderVotes, ,"4
"
5,GLA,11/06/2018,1,1 American Legion,334,Representative in Congress, District 17,140170,Greg Steube,REP,"168
"
6,GLA,11/06/2018,1,1 American Legion,334,Representative in Congress, District 17,140170,Allen Ellison,DEM,"60
"
7,GLA,11/06/2018,1,1 American Legion,334,Representative in Congress, District 17,140170,OverVotes, ,"0
"
8,GLA,11/06/2018,1,1 American Legion,334,Representative in Congress, District 17,140170,UnderVotes, ,"7
"
9,GLA,11/06/2018,1,1 American Legion,334,Governor, ,160000,DeSantis / Nu̱ez,REP,"178
"
10,GLA,11/06/2018,1,1 American Legion,334,Governor, ,160000,Gillum / King,DEM,"49
"
11,GLA,11/06/2018,1,1 American Legion,334,Governor, ,160000,Richardson / Argenziano,REF,"3
"
12,GLA,11/06/2018,1,1 American Legion,334,Governor, ,160000,Gibson / Wilds,NPA,"0
"
13,GLA,11/06/2018,1,1 American Legion,334,Governor, ,160000,Foley / Tutton,NPA,"1
"
14,GLA,11/06/2018,1,1 American Legion,334,Governor, ,160000,Stanley / McJury,NPA,"0
"
15,GLA,11/06/2018,1,1 American Legion,334,Governor, ,160000,WriteinVotes, ,"0
"
16,GLA,11/06/2018,1,1 American Legion,334,Governor, ,160000,OverVotes, ,"1
"
17,GLA,11/06/2018,1,1 American Legion,334,Governor, ,160000,UnderVotes, ,"3
"
18,GLA,11/06/2018,1,1 American Legion,334,Attorney General, ,160200,Ashley Moody,REP,"176
"
19,GLA,11/06/2018,1,1 American Legion,334,Attorney General, ,160200,Sean Shaw,DEM,"44
"
20,GLA,11/06/2018,1,1 American Legion,334,Attorney General, ,160200,Jeffrey Marc Siskind,NPA,"5
"
21,GLA,11/06/2018,1,1 American Legion,334,Attorney General, ,160200,OverVotes, ,"0
"
22,GLA,11/06/2018,1,1 American Legion,334,Attorney General, ,160200,UnderVotes, ,"10
"
23,GLA,11/06/2018,1,1 American Legion,334,Chief Financial Officer, ,160500,Jimmy Patronis,REP,"171
"
24,GLA,11/06/2018,1,1 American Legion,334,Chief Financial Officer, ,160500,Jeremy Ring,DEM,"50
"
25,GLA,11/06/2018,1,1 American Legion,334,Chief Financial Officer, ,160500,WriteinVotes, ,"0
"
26,GLA,11/06/2018,1,1 American Legion,334,Chief Financial Officer, ,160500,OverVotes, ,"0
"
27,GLA,11/06/2018,1,1 American Legion,334,Chief Financial Officer, ,160500,UnderVotes, ,"14
"
28,GLA,11/06/2018,1,1 American Legion,334,Commissioner of Agriculture, ,160800,Matt Caldwell,REP,"180
"
29,GLA,11/06/2018,1,1 American Legion,334,Commissioner of Agriculture, ,160800,"Nicole ""Nikki"" Fried",DEM,"45
"
30,GLA,11/06/2018,1,1 American Legion,334,Commissioner of Agriculture, ,160800,OverVotes, ,"0
"
31,GLA,11/06/2018,1,1 American Legion,334,Commissioner of Agriculture, ,160800,UnderVotes, ,"10
"
