County Code,Precinct Number,Republican Party of Florida,Florida Democratic Party,Other,Total
HIL,579,"1,189",715,489,"2,393"
HIL,581,621,"1,093",787,"2,501"
HIL,583,433,830,590,"1,853"
HIL,584,297,749,454,"1,500"
HIL,585,"1,110",869,689,"2,668"
HIL,587,"1,144",836,633,"2,613"
HIL,589,786,487,492,"1,765"
HIL,591,"1,804",989,813,"3,606"
HIL,595,"1,363",811,755,"2,929"
HIL,601,462,"1,687",818,"2,967"
HIL,605,142,251,154,547
HIL,613,112,978,300,"1,390"
HIL,617,249,"1,915",606,"2,770"
HIL,622,188,686,339,"1,213"
HIL,623,242,"1,250",603,"2,095"
HIL,625,307,486,349,"1,142"
HIL,626,217,556,355,"1,128"
HIL,629,659,"1,071",814,"2,544"
HIL,631,562,469,426,"1,457"
HIL,633,967,549,523,"2,039"
HIL,635,576,967,597,"2,140"
HIL,636,149,174,129,452
HIL,637,5,41,15,61
HIL,639,459,265,266,990
HIL,641,204,817,501,"1,522"
HIL,643,70,337,212,619
HIL,650,143,614,348,"1,105"
HIL,651,521,653,377,"1,551"
HIL,652,375,758,464,"1,597"
HIL,653,659,736,430,"1,825"
HIL,654,164,589,286,"1,039"
HIL,655,698,813,508,"2,019"
HIL,657,455,628,381,"1,464"
HIL,658,178,605,426,"1,209"
HIL,659,651,927,450,"2,028"
HIL,661,396,755,403,"1,554"
HIL,662,212,282,171,665
HIL,671,"1,791","2,278","2,130","6,199"
HIL,673,965,"1,518","1,286","3,769"
HIL,700,325,155,239,719
HIL,701,"2,235","1,112","1,582","4,929"
HIL,702,275,134,176,585
HIL,703,926,339,374,"1,639"
HIL,704,315,129,174,618
HIL,705,446,204,182,832
HIL,706,704,340,454,"1,498"
HIL,707,728,428,406,"1,562"
HIL,708,"1,822",878,"1,150","3,850"
HIL,709,"1,043",646,727,"2,416"
HIL,710,533,262,393,"1,188"
HIL,711,646,276,288,"1,210"
HIL,712,698,364,498,"1,560"
HIL,713,621,908,545,"2,074"
HIL,721,"1,244",888,926,"3,058"
HIL,750,"1,608",831,805,"3,244"
HIL,751,"1,535",717,821,"3,073"
HIL,753,659,"1,933",846,"3,438"
HIL,754,831,628,528,"1,987"
HIL,755,460,402,394,"1,256"
HIL,757,"1,026","1,465","1,266","3,757"
HIL,759,"1,349","1,033","1,047","3,429"
HIL,761,"1,791",787,853,"3,431"
HIL,763,333,276,275,884
HIL,764,"1,047",658,619,"2,324"
HIL,765,948,398,503,"1,849"
HIL,767,999,807,671,"2,477"
HIL,769,"1,109",472,471,"2,052"
HIL,801,796,801,621,"2,218"
HIL,802,759,677,601,"2,037"
HIL,803,396,282,326,"1,004"
HIL,804,"1,782","1,270","1,240","4,292"
HIL,805,895,401,412,"1,708"
HIL,806,"1,204",532,650,"2,386"
HIL,807,365,189,256,810
HIL,808,812,580,539,"1,931"
HIL,809,285,178,191,654
HIL,810,"1,006",701,590,"2,297"
HIL,811,"1,274",903,722,"2,899"
HIL,813,"2,222","1,352","1,240","4,814"
HIL,814,"1,436",464,593,"2,493"
HIL,815,584,268,303,"1,155"
HIL,816,987,481,550,"2,018"
HIL,817,"1,788","1,094","1,112","3,994"
HIL,818,"1,218","1,077","1,005","3,300"
HIL,819,556,398,291,"1,245"
HIL,820,"1,192",983,974,"3,149"
HIL,821,"1,399","1,521","1,252","4,172"
HIL,825,"1,069",905,802,"2,776"
HIL,827,"1,011",777,636,"2,424"
HIL,828,"1,855","3,168","2,440","7,463"
HIL,829,"1,045","1,242",995,"3,282"
HIL,830,637,902,724,"2,263"
HIL,832,928,"1,169",981,"3,078"
HIL,833,482,843,536,"1,861"
HIL,834,557,"1,068",719,"2,344"
HIL,851,"1,124","1,297",987,"3,408"
HIL,852,991,"1,795","1,548","4,334"
HIL,853,238,697,558,"1,493"
HIL,854,29,19,27,75
HIL,855,722,"1,004",725,"2,451"
HIL,856,"1,358","1,201",988,"3,547"
HIL,857,464,999,714,"2,177"
HIL,858,506,666,560,"1,732"
HIL,860,517,565,439,"1,521"
HIL,862,107,65,83,255
HIL,863,351,343,255,949
HIL,867,"1,811","1,659","1,590","5,060"
HIL,868,570,595,533,"1,698"
HIL,869,658,589,484,"1,731"
HIL,871,"1,201","1,109",787,"3,097"
HIL,875,"1,530","1,490","1,285","4,305"
HIL,876,850,816,698,"2,364"
HIL,877,168,165,171,504
HIL,879,"1,124","1,344","1,021","3,489"
HIL,883,665,"1,448","1,041","3,154"
HIL,885,932,"1,490","1,117","3,539"
HIL,887,822,"1,119",907,"2,848"
HIL,889,488,598,472,"1,558"
HIL,891,"1,127",595,540,"2,262"
HIL,892,859,415,465,"1,739"
HIL,901,490,829,773,"2,092"
HIL,902,329,692,466,"1,487"
HIL,904,"1,234",916,726,"2,876"
HIL,905,267,184,256,707
HIL,906,285,159,101,545
HIL,907,616,271,307,"1,194"
HIL,908,"1,636","1,143",984,"3,763"
HIL,909,"1,888",894,950,"3,732"
HIL,911,521,329,386,"1,236"
HIL,912,80,91,58,229
HIL,913,"2,037","2,244","2,108","6,389"
HIL,914,346,511,357,"1,214"
HIL,915,303,500,396,"1,199"
HIL,916,436,959,657,"2,052"
HIL,917,185,71,122,378
HIL,918,428,132,182,742
HIL,919,607,312,368,"1,287"
HIL,920,50,67,59,176
HIL,921,942,653,510,"2,105"
HIL,922,71,25,37,133
HIL,923,369,411,368,"1,148"
HIL,924,224,301,242,767
HIL,925,503,297,259,"1,059"
HIL,927,344,155,127,626
HIL,928,304,215,212,731
HIL,929,"2,092","1,724","1,409","5,225"
HIL,930,666,756,665,"2,087"
HIL,931,411,315,268,994
HIL,932,"1,058","2,036","1,569","4,663"
HIL,933,162,84,82,328
HIL,934,830,563,596,"1,989"
HIL,935,928,645,725,"2,298"
HIL,936,971,351,424,"1,746"
HIL,937,"1,508",527,691,"2,726"
HIL,938,77,89,116,282
HIL,939,"1,593","1,019","1,034","3,646"
HIL,940,48,34,57,139
HIL,941,904,316,476,"1,696"
HIL,942,989,"2,219","1,663","4,871"
HIL,943,416,524,578,"1,518"
HIL,944,990,"1,502","1,104","3,596"
HIL,945,248,301,325,874
HIL,946,"1,952","3,096","2,497","7,545"
HIL,947,"1,544","2,213","1,695","5,452"
HIL,948,398,433,447,"1,278"
HIL,949,"1,805","2,141","1,757","5,703"
HIL,950,788,869,934,"2,591"
HIL,951,893,531,566,"1,990"
HIL,952,"1,085",744,709,"2,538"
HIL,953,"1,554","1,302","1,145","4,001"
HIL,954,148,355,291,794
HIL,955,"1,465","1,711","1,523","4,699"
HIL,956,986,"1,046","1,024","3,056"
HIL,957,694,896,707,"2,297"
HIL,958,514,910,677,"2,101"
HIL,959,789,"1,544","1,228","3,561"
HIL,960,415,252,296,963
HIL,961,254,920,501,"1,675"
HIL,962,443,572,535,"1,550"
HIL,963,15,23,20,58
HIL,964,45,295,155,495
HIL,965,199,"1,592",497,"2,288"
HIL,966,218,285,305,808
HIL,967,212,"1,112",513,"1,837"
HIL,968,447,"1,420","1,032","2,899"
HIL,969,103,191,138,432
HIL,970,118,127,110,355
HIL,971,282,"1,070",689,"2,041"
HIL,972,519,842,718,"2,079"
HIL,973,176,722,278,"1,176"
HIL,974,135,318,271,724
HIL,979,600,"1,008",771,"2,379"
HIL,980,457,603,576,"1,636"
HIL,981,625,838,684,"2,147"
HIL,982,215,197,239,651
HIL,983,608,554,472,"1,634"
HIL,999,867,578,626,"2,071"
HOL,1,645,360,147,"1,152"
HOL,2,648,343,100,"1,091"
HOL,3,506,321,94,921
HOL,4,908,436,159,"1,503"
HOL,5,314,163,69,546
HOL,6,"1,461",613,259,"2,333"
HOL,7,"1,083",588,237,"1,908"
HOL,8,720,402,175,"1,297"
IND,1,41,8,5,54
IND,10,"2,674","1,819","1,976","6,469"
IND,11,682,450,405,"1,537"
IND,12,728,290,296,"1,314"
IND,13,"3,308","1,472","1,550","6,330"
IND,14,"1,402",500,585,"2,487"
IND,15,345,38,105,488
IND,16,"2,550",599,770,"3,919"
IND,17,"2,573",935,"1,078","4,586"
IND,18,"2,128",528,710,"3,366"
IND,19,"1,030",586,526,"2,142"
IND,2,263,702,561,"1,526"
IND,20,305,199,137,641
IND,21,440,"2,147",618,"3,205"
IND,22,"1,966",962,872,"3,800"
IND,23,"1,097",873,744,"2,714"
IND,24,288,343,300,931
IND,25,896,391,429,"1,716"
IND,26,797,853,714,"2,364"
IND,27,"2,085","1,278","1,226","4,589"
IND,28,"5,479","4,218","3,656","13,353"
IND,29,101,49,74,224
IND,3,616,279,318,"1,213"
IND,30,"1,712","1,024","1,010","3,746"
IND,31,"1,960",810,781,"3,551"
IND,32,"3,255","1,400","1,598","6,253"
IND,33,"1,591",606,691,"2,888"
IND,34,"1,515",984,"1,072","3,571"
IND,35,"1,466",822,855,"3,143"
IND,36,"1,011",430,509,"1,950"
IND,4,22,5,6,33
IND,5,"1,938","1,387","1,525","4,850"
IND,6,698,441,442,"1,581"
IND,7,981,508,609,"2,098"
IND,8,"1,900","1,276","1,386","4,562"
IND,9,"2,745","1,731","1,756","6,232"
JAC,1,516,"1,016",193,"1,725"
JAC,10,528,"1,126",171,"1,825"
JAC,11,797,"1,223",218,"2,238"
JAC,12,742,"1,018",244,"2,004"
JAC,13,241,592,125,958
JAC,14,"1,276","1,087",307,"2,670"
JAC,2,209,894,107,"1,210"
JAC,3,"1,451","1,624",359,"3,434"
JAC,4,"1,588","1,280",435,"3,303"
JAC,5,281,310,70,661
JAC,6,698,"1,715",296,"2,709"
JAC,7,"1,255","1,256",297,"2,808"
JAC,8,428,432,91,951
JAC,9,559,790,151,"1,500"
JEF,1,236,307,88,631
JEF,2,140,177,31,348
JEF,3,78,180,36,294
JEF,4,338,398,94,830
JEF,5,198,731,101,"1,030"
JEF,6,176,437,84,697
JEF,7,248,544,75,867
JEF,8,338,517,111,966
JEF,9,310,373,81,764
JEF,10,264,395,111,770
JEF,11,304,437,128,869
JEF,12,237,418,81,736
JEF,13,82,64,25,171
JEF,14,29,127,14,170
JEF,15,253,185,66,504
JEF,16,27,103,14,144
LAF,1,383,449,71,903
LAF,2,281,355,56,692
LAF,3,450,492,60,"1,002"
LAF,4,503,518,88,"1,109"
LAF,5,192,420,38,650
LAK,1,560,331,346,"1,237"
LAK,2,602,304,304,"1,210"
LAK,3,709,359,448,"1,516"
LAK,4,"1,137",534,675,"2,346"
LAK,5,971,541,590,"2,102"
LAK,6,"1,697","1,583",968,"4,248"
LAK,8,"1,763",894,782,"3,439"
LAK,9,587,233,240,"1,060"
LAK,10,749,307,215,"1,271"
LAK,100,"2,212",965,"1,038","4,215"
LAK,101,633,367,323,"1,323"
LAK,102,579,430,228,"1,237"
LAK,103,758,496,379,"1,633"
LAK,104,480,280,246,"1,006"
LAK,105,817,441,386,"1,644"
LAK,106,621,419,360,"1,400"
LAK,107,339,172,140,651
LAK,11,"1,040",809,687,"2,536"
LAK,12,"1,203",824,678,"2,705"
LAK,13,780,352,242,"1,374"
LAK,14,"1,141","1,334","1,009","3,484"
LAK,15,884,"1,302",813,"2,999"
LAK,16,"1,332",548,699,"2,579"
LAK,17,942,417,463,"1,822"
LAK,18,"1,048",334,361,"1,743"
LAK,19,920,511,432,"1,863"
LAK,20,"1,634",576,689,"2,899"
LAK,21,"1,198",416,459,"2,073"
LAK,22,"3,233","2,871","2,614","8,718"
LAK,23,"2,048","1,985","1,613","5,646"
LAK,24,735,291,297,"1,323"
LAK,25,"1,906","1,084",880,"3,870"
LAK,26,916,"1,160",590,"2,666"
LAK,27,129,712,217,"1,058"
LAK,28,244,437,203,884
LAK,29,534,430,301,"1,265"
LAK,30,"1,399",595,559,"2,553"
LAK,31,863,550,423,"1,836"
LAK,32,"2,159","1,027",927,"4,113"
LAK,33,693,383,291,"1,367"
LAK,34,352,175,199,726
LAK,35,"1,156",910,741,"2,807"
LAK,36,526,289,241,"1,056"
LAK,37,725,393,329,"1,447"
LAK,38,"1,539",744,792,"3,075"
LAK,39,"1,119",668,515,"2,302"
LAK,40,483,328,265,"1,076"
LAK,41,471,182,211,864
LAK,42,"1,495","1,240",863,"3,598"
LAK,43,"1,539","1,485",779,"3,803"
LAK,44,670,681,451,"1,802"
LAK,45,960,787,540,"2,287"
LAK,46,539,394,308,"1,241"
LAK,47,"1,566","1,000","1,057","3,623"
LAK,48,"1,252","1,092",839,"3,183"
LAK,49,"1,280",725,701,"2,706"
LAK,50,331,490,267,"1,088"
LAK,51,231,166,122,519
LAK,52,"2,049","1,843","1,600","5,492"
LAK,54,510,317,428,"1,255"
LAK,56,292,267,203,762
LAK,57,63,591,169,823
LAK,58,"1,494","1,102",827,"3,423"
LAK,59,"1,350",789,661,"2,800"
LAK,60,386,217,179,782
LAK,61,"1,555",800,632,"2,987"
LAK,62,"2,752","1,229","1,006","4,987"
LAK,63,471,333,251,"1,055"
LAK,65,"1,269",844,657,"2,770"
LAK,67,"1,728",912,787,"3,427"
LAK,68,714,874,590,"2,178"
LAK,69,371,196,149,716
LAK,70,460,220,164,844
LAK,71,680,217,311,"1,208"
LAK,72,593,429,364,"1,386"
LAK,73,819,383,306,"1,508"
LAK,74,734,379,311,"1,424"
LAK,75,911,478,326,"1,715"
LAK,76,218,99,71,388
LAK,77,216,87,63,366
LAK,78,"1,586",812,759,"3,157"
LAK,79,"2,275","2,077","1,927","6,279"
LAK,80,"1,219",893,736,"2,848"
LAK,81,"1,102",916,812,"2,830"
LAK,82,"1,280","2,089","1,762","5,131"
LAK,83,"1,249",675,535,"2,459"
LAK,84,"1,617","2,664","2,388","6,669"
LAK,85,597,384,331,"1,312"
LAK,86,729,285,231,"1,245"
LAK,87,724,530,458,"1,712"
LAK,88,"1,754",970,"1,065","3,789"
LAK,89,"2,100","2,080","1,554","5,734"
LAK,90,523,399,347,"1,269"
LAK,91,792,346,332,"1,470"
LAK,92,"1,149",466,454,"2,069"
LAK,93,"1,780",931,912,"3,623"
LAK,94,"1,438",538,606,"2,582"
LAK,95,882,674,713,"2,269"
LAK,96,658,347,295,"1,300"
LAK,97,"1,237","1,691","1,297","4,225"
LAK,98,262,109,69,440
LAK,99,652,319,282,"1,253"
LEE,1,"1,477",412,468,"2,357"
LEE,10,"1,361",823,999,"3,183"
LEE,100,"1,404",743,875,"3,022"
LEE,101,"1,822",632,913,"3,367"
LEE,102,"2,210",815,"1,102","4,127"
LEE,103,"1,834","1,305","1,595","4,734"
LEE,104,"1,655","1,067","1,328","4,050"
LEE,105,"1,732","1,166","1,429","4,327"
LEE,106,"1,591",982,"1,177","3,750"
LEE,107,"2,521","1,159","1,596","5,276"
LEE,108,"1,701","1,371","1,523","4,595"
LEE,109,"1,518","1,247","1,373","4,138"
LEE,11,"1,571",903,908,"3,382"
LEE,110,"1,147","1,132","1,255","3,534"
LEE,111,"1,044",800,983,"2,827"
LEE,112,"2,070","1,213","1,689","4,972"
LEE,113,"1,391","1,122","1,403","3,916"
LEE,114,"1,443","1,178","1,330","3,951"
LEE,115,"2,018","1,411","1,819","5,248"
LEE,116,"1,686","1,155","1,491","4,332"
LEE,117,"1,034",514,575,"2,123"
LEE,118,"1,884",879,996,"3,759"
LEE,119,"1,725",431,671,"2,827"
LEE,12,"1,407",658,850,"2,915"
LEE,120,"1,444","1,063","1,467","3,974"
LEE,121,"1,775",850,"1,108","3,733"
LEE,122,"1,707",871,"1,130","3,708"
LEE,123,"1,830",643,953,"3,426"
LEE,124,"2,016",865,"1,105","3,986"
LEE,125,"2,274",506,812,"3,592"
LEE,126,910,443,478,"1,831"
LEE,127,537,250,321,"1,108"
LEE,13,"1,608","1,091","1,454","4,153"
LEE,14,619,354,416,"1,389"
LEE,15,"1,456",674,801,"2,931"
LEE,16,752,464,420,"1,636"
LEE,17,172,67,75,314
LEE,18,720,141,178,"1,039"
LEE,19,277,113,146,536
LEE,2,"1,677","1,049","1,200","3,926"
LEE,20,"1,469","1,114","1,200","3,783"
LEE,21,"1,197",555,641,"2,393"
LEE,22,"1,440",665,870,"2,975"
LEE,23,"1,255",600,700,"2,555"
LEE,24,"1,445",524,787,"2,756"
LEE,25,"2,071",884,"1,266","4,221"
LEE,26,"1,293","1,072","1,006","3,371"
LEE,27,"1,493",372,635,"2,500"
LEE,28,"1,745","1,052","1,324","4,121"
LEE,29,"1,776","1,145","1,442","4,363"
LEE,3,958,"1,687","1,319","3,964"
LEE,30,997,647,663,"2,307"
LEE,31,"1,298",919,926,"3,143"
LEE,32,952,"2,721","1,532","5,205"
LEE,33,"1,195",707,737,"2,639"
LEE,34,"1,502","1,051","1,342","3,895"
LEE,35,"1,715",777,"1,027","3,519"
LEE,36,"4,580","1,939","2,846","9,365"
LEE,37,"1,119",710,773,"2,602"
LEE,38,"1,584","1,203","1,371","4,158"
LEE,39,"1,727",847,936,"3,510"
LEE,4,"1,335","2,011","1,605","4,951"
LEE,40,"1,661",541,704,"2,906"
LEE,41,"1,194",643,787,"2,624"
LEE,42,965,"1,848","1,544","4,357"
LEE,43,"2,024",401,623,"3,048"
LEE,44,"2,136",924,"1,219","4,279"
LEE,45,"1,379",659,758,"2,796"
LEE,46,"1,730","1,518","1,232","4,480"
LEE,47,"1,591","1,575","1,488","4,654"
LEE,48,"1,660","1,294","1,035","3,989"
LEE,49,"1,418",620,879,"2,917"
LEE,5,"2,306",865,"1,023","4,194"
LEE,50,"1,273","1,649","1,534","4,456"
LEE,51,"1,101","2,212","1,915","5,228"
LEE,52,"1,073","1,534","1,299","3,906"
LEE,53,"1,225","1,662","1,567","4,454"
LEE,54,889,235,321,"1,445"
LEE,55,"2,119","1,169","1,612","4,900"
LEE,56,"1,339","1,162","1,449","3,950"
LEE,57,"2,176",648,"1,017","3,841"
LEE,58,"1,020","1,427","1,072","3,519"
LEE,59,"1,244","1,190","1,233","3,667"
LEE,6,651,821,764,"2,236"
LEE,60,"1,565",603,882,"3,050"
LEE,61,"1,520","1,103","1,364","3,987"
LEE,62,"1,504","1,094","1,383","3,981"
LEE,63,"1,410",896,"1,005","3,311"
LEE,64,"2,217",964,"1,120","4,301"
LEE,65,"1,861",976,973,"3,810"
LEE,66,"1,005",540,772,"2,317"
LEE,67,"2,072",631,952,"3,655"
LEE,68,"1,573","1,096","1,284","3,953"
LEE,69,"2,356",822,"1,403","4,581"
LEE,7,455,"2,471","1,071","3,997"
LEE,70,"1,769",934,"1,102","3,805"
LEE,71,"1,288",790,835,"2,913"
LEE,72,"1,658",714,883,"3,255"
LEE,73,"1,564","1,091","1,105","3,760"
LEE,74,"1,772",816,962,"3,550"
LEE,75,"2,344","1,109","1,272","4,725"
LEE,76,"1,154",616,727,"2,497"
LEE,77,"1,458","1,358","1,179","3,995"
LEE,78,"1,500","1,801","1,563","4,864"
LEE,79,"1,753","1,072",999,"3,824"
LEE,8,744,"2,171",992,"3,907"
LEE,80,"1,222",464,678,"2,364"
LEE,81,"1,260",439,606,"2,305"
LEE,82,617,352,417,"1,386"
LEE,83,"1,633",529,478,"2,640"
LEE,84,"1,681",869,953,"3,503"
LEE,85,"1,420",683,761,"2,864"
LEE,86,"2,244",935,"1,147","4,326"
LEE,87,"1,337",714,750,"2,801"
LEE,88,"1,550",545,650,"2,745"
LEE,89,"1,059","1,054","1,046","3,159"
LEE,9,"1,058","1,284","1,252","3,594"
LEE,90,"1,703",812,743,"3,258"
LEE,91,"1,602",881,887,"3,370"
LEE,92,"1,595","1,225","1,307","4,127"
LEE,93,"1,737",788,"1,106","3,631"
LEE,94,"1,767",752,973,"3,492"
LEE,95,"1,670","1,160","1,209","4,039"
LEE,96,"1,537",929,"1,158","3,624"
LEE,97,"1,694",966,"1,246","3,906"
LEE,98,"1,545",806,978,"3,329"
LEE,99,"1,524",979,"1,133","3,636"
LEO,1203,425,"1,752",588,"2,765"
LEO,1205,129,608,172,909
LEO,1230,164,305,180,649
LEO,1251,4,69,7,80
LEO,1255,164,579,168,911
LEO,1257,261,285,150,696
LEO,1258,0,2,0,2
LEO,1259,41,47,9,97
LEO,1301,59,657,173,889
LEO,1302,539,573,438,"1,550"
LEO,1303,166,399,233,798
LEO,1309,43,"2,312",770,"3,125"
LEO,1311,12,457,135,604
LEO,1313,166,"2,455",626,"3,247"
LEO,1314,109,62,69,240
LEO,1315,21,236,44,301
LEO,1317,43,"1,180",109,"1,332"
LEO,1319,41,"1,320",237,"1,598"
LEO,1321,214,"3,474",739,"4,427"
LEO,1327,25,701,126,852
LEO,1351,30,111,27,168
LEO,1353,29,191,32,252
LEO,1355,119,"1,442",297,"1,858"
LEO,1359,21,122,26,169
LEO,1361,126,834,172,"1,132"
LEO,1362,10,49,20,79
LEO,1501,101,712,170,983
LEO,1502,169,480,175,824
LEO,1503,294,"1,638",582,"2,514"
LEO,1505,264,"1,613",573,"2,450"
LEO,1507,"1,317","1,648","1,511","4,476"
LEO,2251,146,313,102,561
LEO,2252,443,775,320,"1,538"
LEO,2253,217,347,104,668
LEO,2303,13,325,43,381
LEO,2305,"1,079","4,390","1,979","7,448"
LEO,2307,4,4,1,9
LEO,2355,47,81,30,158
LEO,2358,94,257,74,425
LEO,2359,123,359,154,636
LEO,2363,170,371,136,677
LEO,2365,"1,395","1,585",793,"3,773"
LEO,2366,129,184,66,379
LEO,2380,34,154,46,234
LEO,2401,136,387,184,707
LEO,2451,292,507,247,"1,046"
LEO,2502,357,642,451,"1,450"
LEO,2503,342,648,557,"1,547"
LEO,2504,147,489,283,919
LEO,2506,691,"1,190",973,"2,854"
LEO,2507,579,"2,515","1,341","4,435"
LEO,2509,358,990,496,"1,844"
LEO,2511,682,"2,696","1,238","4,616"
LEO,2513,305,"1,012",367,"1,684"
LEO,3101,604,867,256,"1,727"
LEO,3103,589,819,265,"1,673"
LEO,3104,186,381,143,710
LEO,3107,308,699,227,"1,234"
LEO,3109,238,490,178,906
LEO,3110,487,934,363,"1,784"
LEO,3401,455,786,265,"1,506"
LEO,3403,379,527,155,"1,061"
LEO,3405,298,332,98,728
LEO,3409,143,587,218,948
LEO,3411,625,"1,775",585,"2,985"
LEO,3412,101,294,109,504
LEO,3413,1,3,1,5
LEO,3414,34,11,8,53
LEO,3451,33,30,12,75
LEO,3453,542,824,240,"1,606"
LEO,3455,681,861,280,"1,822"
LEO,3457,246,420,179,845
LEO,3459,512,738,285,"1,535"
LEO,3461,667,904,366,"1,937"
LEO,3467,824,"1,360",513,"2,697"
LEO,3468,10,46,12,68
LEO,3469,639,"1,378",433,"2,450"
LEO,3473,612,952,274,"1,838"
LEO,3475,66,162,35,263
LEO,3477,199,349,106,654
LEO,3501,453,"1,324",480,"2,257"
LEO,3502,118,741,255,"1,114"
LEO,3507,411,"1,385",503,"2,299"
LEO,3509,678,"1,475",567,"2,720"
LEO,3513,525,"1,731",621,"2,877"
LEO,3551,13,24,14,51
LEO,4101,501,751,337,"1,589"
LEO,4103,"1,092","1,300",528,"2,920"
LEO,4105,17,117,25,159
LEO,4106,0,16,1,17
LEO,4107,35,58,24,117
LEO,4109,25,30,9,64
LEO,4119,"1,840","1,975",784,"4,599"
LEO,4125,"2,056","1,783",786,"4,625"
LEO,4152,37,36,7,80
LEO,4153,662,699,227,"1,588"
LEO,4154,7,101,10,118
LEO,4155,187,308,26,521
LEO,4157,287,384,110,781
LEO,4159,176,422,70,668
LEO,4161,"1,159","1,020",390,"2,569"
LEO,4162,17,22,9,48
LEO,4163,822,773,386,"1,981"
LEO,4167,"1,350","1,136",466,"2,952"
LEO,4168,29,65,11,105
LEO,4173,360,429,135,924
LEO,4184,243,337,115,695
LEO,4401,330,265,127,722
LEO,4403,683,428,288,"1,399"
LEO,4405,962,629,337,"1,928"
LEO,4408,846,592,369,"1,807"
LEO,4451,399,401,94,894
LEO,4453,782,462,210,"1,454"
LEO,4455,"1,378",991,553,"2,922"
LEO,4456,105,86,36,227
LEO,4457,50,48,14,112
LEO,4458,564,495,210,"1,269"
LEO,4459,"1,974","1,368",723,"4,065"
LEO,4461,"1,226",670,444,"2,340"
LEO,5101,139,204,96,439
LEO,5103,244,668,295,"1,207"
LEO,5105,733,"1,557",526,"2,816"
LEO,5107,136,246,87,469
LEO,5110,391,818,325,"1,534"
LEO,5115,467,"1,050",368,"1,885"
LEO,5153,710,806,281,"1,797"
LEO,5154,263,276,113,652
LEO,5165,30,122,26,178
LEO,5201,257,929,314,"1,500"
LEO,5203,196,"1,084",263,"1,543"
LEO,5204,1,1,1,3
LEO,5205,96,205,81,382
LEO,5207,718,"2,252",772,"3,742"
LEO,5209,112,300,106,518
LEO,5211,258,725,294,"1,277"
LEO,5212,71,75,37,183
LEO,5214,523,905,330,"1,758"
LEO,5219,745,"1,037",495,"2,277"
LEO,5220,404,682,298,"1,384"
LEO,5221,523,"1,298",536,"2,357"
LEO,5223,53,101,54,208
LEO,5224,77,125,70,272
LEO,5225,"1,462","1,336",849,"3,647"
LEO,5227,76,133,53,262
LEO,5228,18,23,9,50
LEO,5251,857,963,291,"2,111"
LEO,5252,53,95,41,189
LEO,5258,0,2,0,2
LEO,5260,875,"2,154",647,"3,676"
LEO,5261,930,"1,321",425,"2,676"
LEO,5263,766,960,299,"2,025"
LEO,5264,15,85,9,109
LEO,5265,6,72,6,84
LEO,5284,801,865,321,"1,987"
LEO,9000,239,362,238,839
LEV,1,909,750,555,"2,214"
LEV,2,"1,287",833,553,"2,673"
LEV,3,"1,480","1,285",752,"3,517"
LEV,4,584,481,279,"1,344"
LEV,5,"1,709",787,542,"3,038"
LEV,6,276,147,69,492
LEV,7,"1,044","1,302",448,"2,794"
LEV,8,"1,609",832,689,"3,130"
LEV,9,"1,221",688,623,"2,532"
LEV,10,578,263,115,956
LEV,11,553,507,161,"1,221"
LEV,12,"1,011",552,379,"1,942"
LEV,13,915,740,351,"2,006"
LIB,1,20,311,35,366
LIB,2,49,204,30,283
LIB,3,230,689,103,"1,022"
LIB,4,247,651,71,969
LIB,5,170,406,51,627
LIB,6,136,487,69,692
LIB,7,32,127,13,172
LIB,8,59,158,26,243
MAD,1,645,"1,371",244,"2,260"
MAD,10,319,"1,066",158,"1,543"
MAD,11,187,761,94,"1,042"
MAD,2,59,362,24,445
MAD,3,931,809,309,"2,049"
MAD,4,192,199,41,432
MAD,5,185,896,117,"1,198"
MAD,6,119,127,36,282
MAD,7,486,575,167,"1,228"
MAD,8,411,553,134,"1,098"
MAD,9,75,158,30,263
MAN,101,"2,589","1,530","1,366","5,485"
MAN,103,495,297,251,"1,043"
MAN,107,778,388,483,"1,649"
MAN,111,517,483,344,"1,344"
MAN,117,"2,372","1,501","1,587","5,460"
MAN,119,827,425,443,"1,695"
MAN,121,"2,278","1,330","1,328","4,936"
MAN,123,"1,691","1,303","1,084","4,078"
MAN,125,"1,008",744,582,"2,334"
MAN,127,"2,917","1,534","1,525","5,976"
MAN,129,786,266,286,"1,338"
MAN,131,"2,074","1,212","1,295","4,581"
MAN,133,535,150,221,906
MAN,135,"3,105","1,206","1,442","5,753"
MAN,137,"2,578",948,"1,201","4,727"
MAN,139,"3,802","1,569","1,711","7,082"
MAN,141,332,150,147,629
MAN,201,854,763,556,"2,173"
MAN,203,604,386,358,"1,348"
MAN,205,59,"1,037",233,"1,329"
MAN,207,946,"1,047",700,"2,693"
MAN,209,383,"1,340",463,"2,186"
MAN,211,913,501,508,"1,922"
MAN,213,"1,188","2,577","1,617","5,382"
MAN,215,441,"1,240",696,"2,377"
MAN,217,"1,099","1,537",876,"3,512"
MAN,219,"1,347","1,201",816,"3,364"
MAN,221,"1,339","1,570","1,158","4,067"
MAN,223,427,"1,817",656,"2,900"
MAN,301,510,319,253,"1,082"
MAN,303,655,364,316,"1,335"
MAN,305,648,400,427,"1,475"
MAN,307,320,227,192,739
MAN,309,"1,074",529,497,"2,100"
MAN,311,"2,551","1,210","1,204","4,965"
MAN,313,"1,669",779,842,"3,290"
